50.181,17.335,81.367,0
35.592,32.485,50.323,0
33.473,21.09,53.932,0
38.641,9.59,71.175,0
36.703,12,65.627,0
31.114,19.505,62.525,0
36.913,23.06,97.528,0
48.023,13.63,65.869,0
47.262,34.135,35.512,0
36.245,18.72,100.273,0
38.581,22.9,74.764,0
42.948,13.495,40.004,0
30.62,18.7,56.44,0
27.249,37.275,71.492,0
32.585,25.315,51.438,0
43.784,24.36,51.361,0
24.321,39.31,71.974,0
31.205,35.915,55.159,0
16.474,32.84,58.269,0
30.289,30.8,62.116,0
15.284,27.06,73.627,0
17.313,28.105,39.824,0
17.495,23.225,89.858,0
17.453,28.085,52.999,0
15.617,35.68,84.447,0
30.933,44.25,124.027,0
25.31,28.03,103.957,0
18.41,26.185,85.746,0
17.099,44.315,70.264,0
19.612,27.88,95.061,0
12.161,35.735,92.809,0
27.792,36.63,97.324,0
5.556,37.095,76.435,0
25.646,33.615,104.984,0
10.161,25.31,112.399,0
17.393,38.655,94.801,0
23.516,44.4,114.638,0
26.775,48.7,92.245,0
13.572,38.605,69.99,0
-1.047,39.965,107.797,0
12.424,49.675,76.768,0
2.384,48.455,85.015,0
17.953,41.165,55.357,0
18.477,43.4,65.81,0
9.848,40.935,109.29,0
3.126,43.96,94.599,0
-2.481,43.84,86.616,0
7.758,34.16,62.416,0
6.694,58.745,57.515,0
8.719,57.05,52.941,0
-4.685,49.86,101.363,0
0.039,43.835,129.008,0
-8.346,44.87,79.278,0
1.371,51.245,105.284,0
12.626,41.615,67.536,0
-3.179,52.86,116.907,0
-0.81,54.16,78.863,0
8.909,41.155,70.927,0
-2.243,48.6,118.049,0
1.175,45.855,69.049,0
-19.009,56.465,65.814,0
7.091,49.9,87.382,0
-3.065,49.5,64.211,0
-7.027,45.5,63.51,0
1.948,46.825,108.693,0
-19.504,52.285,55.139,0
-10.998,56.38,123.43,0
-7.19,45.335,52.059,0
-7.482,59.765,78.978,0
-20.901,52.55,120.633,0
-13.946,61.86,97.852,0
-10.942,58.91,67.277,0
-11.312,54.635,125.862,0
-0.606,71.64,122.3,0
-13.888,54.505,132.396,0
-20.97,55.16,50.274,0
-13.303,66.635,95.792,0
-24.691,58.685,91.309,0
-8.528,51.965,71.263,0
-17.747,58.24,77.672,0
-5.617,50.82,79.594,0
-13.931,46.42,104.943,0
-7.018,57.095,63.817,0
-23.311,63.88,72.012,0
-31.117,68.06,114.556,0
-21.431,72.955,126.458,0
-22,60.355,125.965,0
-28.193,60.93,102.05,0
-37.748,51.58,105.668,0
-23.986,72.215,127.485,0
-20.949,70.79,103.787,0
-26.543,61.26,125.058,0
-23.566,77.495,108.608,0
-21.508,72.35,134.058,0
-21.803,71.82,80.44,0
